Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Field Technician Wages,6000,12982,12962,15741,17129,19100,19577,19504,20295,18450,18287,15823,15520,14960,15962,18348,20321,21595,23863,25552,23720,21611,21028,18632,18239,17142,18038,20247,23126,25603,28157,27171,28285,25775,23209,20459,21022,21276,20761,23922,27350,30703,31022,31862,31777,29559,27073,24674,24224,23481,24246,28283,31581,34104,35772,36950,36813,34060,31344,29337,29402
Payroll Taxes & Benefits,6100,1818,1815,2204,2398,2674,2741,2731,2841,2583,2560,2215,2173,2094,2235,2569,2845,3023,3341,3577,3321,3026,2944,2609,2554,2400,2525,2835,3238,3584,3942,3804,3960,3609,3249,2864,2943,2979,2907,3349,3829,4298,4343,4461,4449,4138,3790,3454,3391,3287,3394,3960,4421,4775,5008,5173,5154,4768,4388,4107,4116
Vehicle & Fuel,6200,1659,1669,1935,2117,2314,2545,2744,2797,2343,2437,2092,1919,1953,2038,2430,2506,2955,3241,3203,3229,2698,2575,2414,2344,2182,2276,2792,2898,3384,3462,3693,3408,3199,2991,2656,2631,2763,2633,3249,3613,3811,4038,4517,3998,3836,3603,3463,3425,3262,3400,3544,4198,4676,4943,5044,4991,4351,4254,3901,3868
Shop Rent,6300,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460
Utilities,6400,634,618,725,759,811,904,896,883,772,761,635,649,598,591,702,780,840,912,932,905,763,767,647,621,621,599,676,747,832,872,899,889,776,760,640,662,576,594,667,783,817,917,873,841,836,759,642,666,628,634,677,745,809,858,913,844,798,757,664,616
Marketing & Advertising,6500,2404,2504,2433,2382,2578,2492,2588,2438,2457,2568,2634,2613,2570,2747,2578,2614,2634,2804,2821,2765,2970,2763,2990,3008,3016,2934,2860,3095,3018,3169,3063,3203,3039,2964,3032,3158,3271,3135,3122,3329,3132,3401,3275,3386,3397,3517,3387,3571,3441,3298,3400,3613,3458,3387,3497,3530,3760,3576,3771,3506
Franchise Royalty Fees,6600,4243,4296,5048,5642,6118,6538,6480,6408,5974,5824,5099,4949,4816,5220,5984,6630,7075,7533,8069,7670,7108,6621,6066,5911,5644,5967,6513,7377,8334,8997,9008,8965,8462,7666,6785,6976,6767,6756,7876,8687,9866,10351,10314,10263,9797,9022,8141,7865,7616,7978,9102,10402,11216,11887,12294,12236,11031,10348,9742,9397
Corporate Ad Fund Contribution,6650,1414,1432,1683,1881,2039,2179,2160,2136,1991,1941,1700,1650,1605,1740,1995,2210,2358,2511,2690,2557,2369,2207,2022,1970,1881,1989,2171,2459,2778,2999,3003,2988,2821,2555,2262,2325,2256,2252,2625,2896,3289,3450,3438,3421,3266,3007,2714,2622,2539,2659,3034,3467,3739,3962,4098,4079,3677,3449,3247,3132
Insurance,6700,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025
Tools & Small Equipment,6800,411,623,382,362,389,608,462,501,476,484,415,547,600,527,561,459,529,450,362,410,448,544,515,543,488,599,606,391,532,346,349,442,509,363,618,423,515,556,622,511,608,447,572,559,569,578,493,477,613,399,418,541,348,638,492,458,455,558,534,494
Software & Dispatch,6900,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
Interest Expense,7000,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
