Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Payroll Taxes & Benefits,6100,2730,2874,3351,3672,3907,3991,4113,4103,3925,3483,3159,3081,2864,2891,3287,3848,4019,4491,4514,4323,4041,3756,3204,3277,3184,3233,3609,3931,4279,4716,4639,4595,4221,3939,3425,3468,3264,3298,4021,4404,4487,5153,5020,4969,4340,4185,3620,3674,3529,3651,4148,4619,4980,5152,5235,4937,4790,4603,3738,3915
Vehicle & Fuel,6200,2501,2748,3214,3462,3457,3828,3982,4114,3613,3321,3027,2736,2661,2729,3311,3652,3734,4205,4522,4348,3904,3592,2996,3056,3109,3122,3492,3898,4281,4380,4666,4558,4132,3680,3480,3255,3021,3344,3626,3904,4392,4926,4704,4948,4407,4222,3712,3323,3349,3427,3928,4259,4774,4798,5270,4868,4799,4265,3808,3473
Shop Rent,6300,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840
Utilities,6400,916,1005,1056,1248,1256,1392,1409,1340,1210,1167,1049,1038,975,985,1054,1153,1241,1439,1431,1415,1202,1120,1033,963,911,965,1092,1178,1263,1355,1458,1350,1183,1102,984,984,974,998,1074,1229,1268,1331,1346,1327,1237,1174,1048,997,907,920,1130,1193,1338,1368,1401,1297,1190,1105,990,1038
Marketing & Advertising,6500,3254,3119,3364,3376,3222,3278,3281,3462,3509,3399,3594,3586,3486,3596,3706,3617,3585,3764,3542,3774,3860,3925,3965,3906,3797,4034,4071,3895,4149,4146,4014,4139,4204,4199,4175,4090,4230,4363,4422,4432,4249,4188,4627,4251,4451,4353,4607,4731,4564,4516,4459,4642,4741,4761,4741,4719,4998,4931,4884,5043
Franchise Royalty Fees,6600,6588,6715,7773,8549,9192,9500,9711,9526,9246,8150,7483,7235,6725,7035,8048,9023,9746,10618,10464,10067,9558,8935,7767,7778,7458,7609,8764,9194,10020,11323,10850,10738,9914,9113,8086,8146,7870,7806,9472,10282,10582,12059,12013,11772,10549,10202,8625,8655,8445,8712,9924,10926,11876,12286,12688,11994,11310,10880,9010,9121
Corporate Ad Fund Contribution,6650,2196,2238,2591,2850,3064,3167,3237,3175,3082,2717,2494,2412,2242,2345,2683,3008,3249,3539,3488,3356,3186,2978,2589,2593,2486,2536,2921,3065,3340,3774,3617,3579,3305,3038,2695,2715,2623,2602,3157,3427,3527,4020,4004,3924,3516,3401,2875,2885,2815,2904,3308,3642,3959,4095,4229,3998,3770,3627,3003,3040
Insurance,6700,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
Tools & Small Equipment,6800,822,795,554,845,612,754,979,717,671,737,978,665,838,584,989,597,811,861,886,665,697,710,650,938,924,690,839,540,719,786,541,809,794,987,788,886,572,672,636,621,638,663,741,547,990,750,721,905,851,840,875,733,983,605,805,949,599,617,618,964
Software & Dispatch,6900,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
Interest Expense,7000,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
