Account,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Payroll Taxes & Benefits,2359,2284,2309,2341,2330,2346,2272,2270,2360,2407,2495,2599,2466,2346,2469,2463,2552,2410,2280,2408,2501,2524,2667,2712,2523,2528,2591,2556,2624,2489,2458,2484,2612,2665,2759,2823,2679,2618,2682,2672,2719,2660,2568,2669,2743,2865,2929,2997,2845,2712,2765,2794,2861,2804,2736,2723,2882,2918,3012,3086
Base Rent,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170,5170
Utilities,1528,1453,1616,1618,1629,1437,1391,1412,1507,1702,1711,1694,1570,1512,1627,1521,1660,1449,1463,1484,1530,1585,1668,1694,1597,1468,1621,1497,1561,1480,1360,1453,1583,1665,1658,1809,1555,1498,1612,1600,1608,1528,1490,1408,1555,1676,1756,1807,1517,1571,1493,1590,1610,1491,1474,1547,1523,1644,1689,1698
Marketing & Advertising,1854,1867,1977,1921,1925,1897,1910,1946,1987,2015,1977,1978,2021,2064,2093,2043,2170,2159,2258,2291,2118,2152,2221,2327,2352,2348,2238,2369,2251,2342,2374,2384,2400,2524,2395,2565,2415,2453,2453,2519,2679,2604,2592,2716,2659,2699,2759,2722,2774,2705,2785,2890,2846,2760,2824,2808,2749,2910,2801,2814
Franchise Royalty Fees,3475,3331,3379,3508,3465,3340,3190,3288,3540,3701,3867,4025,3718,3541,3659,3729,3844,3641,3361,3561,3805,4002,4159,4245,3951,3858,3991,4033,4014,3878,3698,3888,4031,4354,4434,4549,4286,4120,4206,4334,4399,4139,4015,4149,4325,4631,4750,4986,4571,4423,4549,4608,4684,4460,4336,4476,4665,4957,5189,5250
Corporate Ad Fund Contribution,1390,1333,1352,1403,1386,1336,1276,1315,1416,1480,1547,1610,1487,1416,1463,1492,1537,1456,1345,1425,1522,1601,1664,1698,1581,1543,1596,1613,1606,1551,1479,1555,1612,1741,1774,1819,1715,1648,1682,1734,1759,1656,1606,1660,1730,1852,1900,1994,1829,1769,1820,1843,1874,1784,1734,1790,1866,1983,2075,2100
Insurance,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940
Repairs & Maintenance,974,557,633,639,1015,539,782,888,628,708,790,978,896,971,684,810,952,576,568,601,596,589,506,744,539,745,724,691,922,603,659,590,954,878,672,660,887,906,598,655,499,711,543,603,579,903,660,953,555,801,489,576,921,549,626,804,546,992,912,692
POS & Processing Fees,1459,1399,1419,1473,1455,1403,1340,1381,1487,1554,1624,1690,1562,1487,1537,1566,1614,1529,1412,1496,1598,1681,1747,1783,1660,1620,1676,1694,1686,1629,1553,1633,1693,1829,1862,1910,1800,1731,1767,1820,1847,1738,1686,1743,1816,1945,1995,2094,1920,1857,1910,1935,1967,1873,1821,1880,1959,2082,2179,2205
Interest Expense,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
